YEAR,SPECIES_CD,avMortOld,SE_avMortOld,analysis_group
2022,ACR CERV,18.546031856276336,9.333980952373249,MIR_GRP
2022,ACR PALM,0.2895879413451298,0.2895879413451298,MIR_GRP
2022,AGA AGAR,2.8064261275580713,0.5286920203925025,MIR_GRP
2022,COL NATA,3.6515796947106853,0.743260960852523,MIR_GRP
2022,DIC STOK,3.5143769968051117,1.473867630109154e-5,MIR_GRP
2022,DIP LABY,4.297124600638978,2.4173707197809233,MIR_GRP
2022,MEA MEAN,0,0,MIR_GRP
2022,MON CAVE,12.009747367175482,3.64735355546429,MIR_GRP
2022,ORB ANNU,61.04370721772213,4.807447692478548,MIR_GRP
2022,ORB FAVE,45.09443352174982,6.812310154805803,MIR_GRP
2022,POR ASTR,6.071720685547867,0.9517694056956828,MIR_GRP
2022,POR PORI,7.513575112616647,1.6404360493811174,MIR_GRP
2022,PSE CLIV,0.27848775292864747,0.16134185303514378,MIR_GRP
2022,PSE STRI,14.221689740859071,4.043071708504941,MIR_GRP
2022,SID RADI,7.446086261980831,4.302945755259303,MIR_GRP
2022,SID SIDE,19.002153263638903,2.411491596130535,MIR_GRP
2022,STE INTE,11.852267211463927,3.287125367202908,MIR_GRP
2024,ACR CERV,7.393577755905512,7.393577755905512,MIR_GRP
2024,AGA AGAR,10.475866527713448,1.390098229216238,MIR_GRP
2024,COL NATA,11.515440452755906,1.0132417020110784,MIR_GRP
2024,DIC STOK,9.120324803149607,8.476365527473323,MIR_GRP
2024,DIP LABY,2.8871391076115485,2.887139107621515,MIR_GRP
2024,MEA MEAN,9.940944881889765,0,MIR_GRP
2024,MON CAVE,13.965500038598117,3.8925314003024147,MIR_GRP
2024,ORB ANNU,35.96094160104987,4.673701581820103,MIR_GRP
2024,ORB FAVE,30.112966347956508,5.047995641339846,MIR_GRP
2024,POR ASTR,16.196077627584,1.9791536930794318,MIR_GRP
2024,POR PORI,35.77259256225598,3.7202278763009655,MIR_GRP
2024,PSE CLIV,0,1.1478814407116575e-5,MIR_GRP
2024,PSE STRI,3.7893700787401574,2.1653543307086616,MIR_GRP
2024,SID RADI,9.15946574386535,3.156020181026851,MIR_GRP
2024,SID SIDE,16.219897438945132,1.6322650855552903,MIR_GRP
2024,STE INTE,10.90406743027314,2.815404402445788,MIR_GRP
2022,ACR CERV,5.453551731953311,4.036232448234169,NCRMP_GRP
2022,AGA AGAR,4.223477573834534,0.8401673048570985,NCRMP_GRP
2022,COL NATA,3.248652400559061,1.2146698595416257,NCRMP_GRP
2022,DIC STOK,4.793972377666614,1.5202272921917819,NCRMP_GRP
2022,DIP LABY,4.2565475515934486,2.1255476096962083,NCRMP_GRP
2022,MEA MEAN,1.4278226872662714,1.4278226872662714,NCRMP_GRP
2022,MON CAVE,18.95459879659551,5.2072501538343126,NCRMP_GRP
2022,ORB ANNU,16.715713845784432,2.5984059023670514,NCRMP_GRP
2022,ORB FAVE,22.062207968729012,2.5995760359780764,NCRMP_GRP
2022,POR ASTR,7.183836654919808,1.7541382221021815,NCRMP_GRP
2022,POR PORI,8.670785269555848,1.1699097166156973,NCRMP_GRP
2022,PSE CLIV,1.8602875706245174,1.418288238555591,NCRMP_GRP
2022,PSE STRI,6.549928374047287,2.8461755492520417,NCRMP_GRP
2022,SID RADI,12.710434784871863,3.4083638007724537,NCRMP_GRP
2022,SID SIDE,12.236662104370456,0.9637572189648823,NCRMP_GRP
2022,STE INTE,11.049015615092408,1.9081432441519914,NCRMP_GRP
2024,ACR CERV,4.778511206717091,0,NCRMP_GRP
2024,AGA AGAR,13.745627935232337,2.0175307100988187,NCRMP_GRP
2024,COL NATA,3.050012665543553,0.6654719431201298,NCRMP_GRP
2024,DIC STOK,3.883069606950887,1.2395381966762054,NCRMP_GRP
2024,DIP LABY,5.281114070392134,0.734622702651583,NCRMP_GRP
2024,MEA MEAN,0,1.6021850213875517e-5,NCRMP_GRP
2024,MON CAVE,10.174579283677552,1.6009252871943072,NCRMP_GRP
2024,ORB ANNU,29.3271304882387,5.407015069902009,NCRMP_GRP
2024,ORB FAVE,38.60934106152928,2.2443227939615866,NCRMP_GRP
2024,POR ASTR,15.042358409696217,1.492039112403501,NCRMP_GRP
2024,POR PORI,28.24270885594791,2.8863695875608557,NCRMP_GRP
2024,PSE CLIV,7.857177743497221,3.0923073739244074,NCRMP_GRP
2024,PSE STRI,9.618801031619364,4.977668288368603,NCRMP_GRP
2024,SID RADI,6.04468690414741,1.4159681865650986,NCRMP_GRP
2024,SID SIDE,13.111356651442662,1.140318008135311,NCRMP_GRP
2024,STE INTE,11.445023149137965,1.2476214080654406,NCRMP_GRP
