COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
CLI SPE.,NCRMP_GRP,CFK03,15652,9,0.003333333333333333,0.020372505746774558
COL NATA,NCRMP_GRP,CFK03,15652,9,0,0
CYA SPE.,NCRMP_GRP,CFK03,15652,9,0.0011111111111111111,0.011775177053374686
DIC SPE.,NCRMP_GRP,CFK03,15652,9,0.16888888888888892,0.13242201529509715
DIC STOK,NCRMP_GRP,CFK03,15652,9,0,0
DIP LABY,NCRMP_GRP,CFK03,15652,9,0,0
EUS FAST,NCRMP_GRP,CFK03,15652,9,0,0
GOR ENCR,NCRMP_GRP,CFK03,15652,9,0.024444444444444446,0.05458159196627249
GOR GORG,NCRMP_GRP,CFK03,15652,9,0.03888888888888889,0.06833287226761146
HAL SPE.,NCRMP_GRP,CFK03,15652,9,0.008888888888888889,0.033175312372138235
HEL CUCU,NCRMP_GRP,CFK03,15652,9,0,0
ISO SINU,NCRMP_GRP,CFK03,15652,9,0,0
LOB SPE.,NCRMP_GRP,CFK03,15652,9,0,0
MAC CALC,NCRMP_GRP,CFK03,15652,9,0.008888888888888889,0.033175312372138235
MAC FLES,NCRMP_GRP,CFK03,15652,9,0.03777777777777778,0.06738853337806228
MAD DECA,NCRMP_GRP,CFK03,15652,9,0,0
MAG SPE.,NCRMP_GRP,CFK03,15652,9,0.024444444444444446,0.05458159196627249
MEA MEAN,NCRMP_GRP,CFK03,15652,9,0,0
MIL SPE.,NCRMP_GRP,CFK03,15652,9,0.015555555555555557,0.04373896266550248
MON CAVE,NCRMP_GRP,CFK03,15652,9,0,0
ORB ANNU,NCRMP_GRP,CFK03,15652,9,0,0
ORB FAVE,NCRMP_GRP,CFK03,15652,9,0.0022222222222222222,0.016643350767572094
ORB FRAN,NCRMP_GRP,CFK03,15652,9,0,0
OTH SPE.,NCRMP_GRP,CFK03,15652,9,0,0
PAL SPE.,NCRMP_GRP,CFK03,15652,9,0.016666666666666666,0.04524857065846089
PEY SPE.,NCRMP_GRP,CFK03,15652,9,0.0011111111111111111,0.011775177053374686
POR ASTR,NCRMP_GRP,CFK03,15652,9,0.003333333333333333,0.020372505746774558
POR PORI,NCRMP_GRP,CFK03,15652,9,0.0011111111111111111,0.011775177053374686
POR SPE.,NCRMP_GRP,CFK03,15652,9,0,0
PSE CLIV,NCRMP_GRP,CFK03,15652,9,0,0
PSE STRI,NCRMP_GRP,CFK03,15652,9,0,0
RAM SPE.,NCRMP_GRP,CFK03,15652,9,0,0
RHO CRUS,NCRMP_GRP,CFK03,15652,9,0.006666666666666667,0.028762854522229125
SID RADI,NCRMP_GRP,CFK03,15652,9,0.003333333333333333,0.020372505746774558
SID SIDE,NCRMP_GRP,CFK03,15652,9,0.04,0.06926211063296435
SOL BOUR,NCRMP_GRP,CFK03,15652,9,0.0044444444444444444,0.023511027019849248
SOL SPE.,NCRMP_GRP,CFK03,15652,9,0,0
SPO OTHE,NCRMP_GRP,CFK03,15652,9,0.08777777777777779,0.10001674679264633
STE INTE,NCRMP_GRP,CFK03,15652,9,0.014444444444444446,0.0421716978431093
TUR FREE,NCRMP_GRP,CFK03,15652,9,0,0
TUR SEDI,NCRMP_GRP,CFK03,15652,9,0.3977777777777778,0.1729930902335889
ACR CERV,NCRMP_GRP,CFK05,2596,7,0,0
ACR PALM,NCRMP_GRP,CFK05,2596,7,0,0
AGA AGAR,NCRMP_GRP,CFK05,2596,7,0.0014285714285714286,0.015398506610995517
AGA HUMI,NCRMP_GRP,CFK05,2596,7,0,0
AGA LAMA,NCRMP_GRP,CFK05,2596,7,0,0
AGA SPE.,NCRMP_GRP,CFK05,2596,7,0,0
BAR SUB.,NCRMP_GRP,CFK05,2596,7,0.10428571428571429,0.12460492738271861
CLI SPE.,NCRMP_GRP,CFK05,2596,7,0,0
COL NATA,NCRMP_GRP,CFK05,2596,7,0,0
CYA SPE.,NCRMP_GRP,CFK05,2596,7,0.005714285714285714,0.030730854148325246
DIC SPE.,NCRMP_GRP,CFK05,2596,7,0.10428571428571429,0.12460492738271861
DIC STOK,NCRMP_GRP,CFK05,2596,7,0,0
DIP LABY,NCRMP_GRP,CFK05,2596,7,0,0
EUS FAST,NCRMP_GRP,CFK05,2596,7,0,0
GOR ENCR,NCRMP_GRP,CFK05,2596,7,0.008571428571428572,0.03758334030283374
GOR GORG,NCRMP_GRP,CFK05,2596,7,0.04428571428571428,0.0838752681742451
HAL SPE.,NCRMP_GRP,CFK05,2596,7,0.008571428571428572,0.03758334030283374
HEL CUCU,NCRMP_GRP,CFK05,2596,7,0,0
ISO SINU,NCRMP_GRP,CFK05,2596,7,0,0
LOB SPE.,NCRMP_GRP,CFK05,2596,7,0.002857142857142857,0.02176119422074005
MAC CALC,NCRMP_GRP,CFK05,2596,7,0.0014285714285714286,0.015398506610995517
MAC FLES,NCRMP_GRP,CFK05,2596,7,0.07285714285714286,0.1059613425851569
MAD DECA,NCRMP_GRP,CFK05,2596,7,0,0
MAG SPE.,NCRMP_GRP,CFK05,2596,7,0,0
MEA MEAN,NCRMP_GRP,CFK05,2596,7,0,0
MIL SPE.,NCRMP_GRP,CFK05,2596,7,0.025714285714285714,0.06453100901255523
MON CAVE,NCRMP_GRP,CFK05,2596,7,0,0
ORB ANNU,NCRMP_GRP,CFK05,2596,7,0,0
ORB FAVE,NCRMP_GRP,CFK05,2596,7,0,0
ORB FRAN,NCRMP_GRP,CFK05,2596,7,0,0
OTH SPE.,NCRMP_GRP,CFK05,2596,7,0,0
PAL SPE.,NCRMP_GRP,CFK05,2596,7,0.04714285714285714,0.08640918378590225
PEY SPE.,NCRMP_GRP,CFK05,2596,7,0.004285714285714286,0.026632812547526637
POR ASTR,NCRMP_GRP,CFK05,2596,7,0.02142857142857143,0.05903790409822052
POR PORI,NCRMP_GRP,CFK05,2596,7,0.002857142857142857,0.02176119422074005
POR SPE.,NCRMP_GRP,CFK05,2596,7,0,0
PSE CLIV,NCRMP_GRP,CFK05,2596,7,0,0
PSE STRI,NCRMP_GRP,CFK05,2596,7,0,0
RAM SPE.,NCRMP_GRP,CFK05,2596,7,0.0014285714285714286,0.015398506610995517
RHO CRUS,NCRMP_GRP,CFK05,2596,7,0.02428571428571429,0.0627588285476569
SID RADI,NCRMP_GRP,CFK05,2596,7,0.0014285714285714286,0.015398506610995517
SID SIDE,NCRMP_GRP,CFK05,2596,7,0.0071428571428571435,0.03433344799746466
SOL BOUR,NCRMP_GRP,CFK05,2596,7,0,0
SOL SPE.,NCRMP_GRP,CFK05,2596,7,0,0
SPO OTHE,NCRMP_GRP,CFK05,2596,7,0.02428571428571429,0.0627588285476569
STE INTE,NCRMP_GRP,CFK05,2596,7,0,0
TUR FREE,NCRMP_GRP,CFK05,2596,7,0.10857142857142857,0.1268349981564027
TUR SEDI,NCRMP_GRP,CFK05,2596,7,0.37714285714285717,0.19759921913028738
ACR CERV,NCRMP_GRP,CFK06,36727,9,0,0
ACR PALM,NCRMP_GRP,CFK06,36727,9,0,0
AGA AGAR,NCRMP_GRP,CFK06,36727,9,0,0
AGA HUMI,NCRMP_GRP,CFK06,36727,9,0,0
AGA LAMA,NCRMP_GRP,CFK06,36727,9,0,0
AGA SPE.,NCRMP_GRP,CFK06,36727,9,0,0
BAR SUB.,NCRMP_GRP,CFK06,36727,9,0.17222222222222222,0.1334760247453994
CLI SPE.,NCRMP_GRP,CFK06,36727,9,0,0
COL NATA,NCRMP_GRP,CFK06,36727,9,0,0
CYA SPE.,NCRMP_GRP,CFK06,36727,9,0,0
DIC SPE.,NCRMP_GRP,CFK06,36727,9,0.05666666666666667,0.081733145205034
DIC STOK,NCRMP_GRP,CFK06,36727,9,0,0
DIP LABY,NCRMP_GRP,CFK06,36727,9,0,0
EUS FAST,NCRMP_GRP,CFK06,36727,9,0,0
GOR ENCR,NCRMP_GRP,CFK06,36727,9,0,0
GOR GORG,NCRMP_GRP,CFK06,36727,9,0.035555555555555556,0.06546273260602531
HAL SPE.,NCRMP_GRP,CFK06,36727,9,0.017777777777777778,0.046713822065032364
HEL CUCU,NCRMP_GRP,CFK06,36727,9,0,0
ISO SINU,NCRMP_GRP,CFK06,36727,9,0,0
LOB SPE.,NCRMP_GRP,CFK06,36727,9,0,0
MAC CALC,NCRMP_GRP,CFK06,36727,9,0.025555555555555554,0.05578571362001427
MAC FLES,NCRMP_GRP,CFK06,36727,9,0.08222222222222222,0.09711027005327436
MAD DECA,NCRMP_GRP,CFK06,36727,9,0,0
MAG SPE.,NCRMP_GRP,CFK06,36727,9,0.010000000000000002,0.035173807712355516
MEA MEAN,NCRMP_GRP,CFK06,36727,9,0,0
MIL SPE.,NCRMP_GRP,CFK06,36727,9,0.014444444444444446,0.04217865865411596
MON CAVE,NCRMP_GRP,CFK06,36727,9,0.0011111111111111111,0.011777120650294673
ORB ANNU,NCRMP_GRP,CFK06,36727,9,0,0
ORB FAVE,NCRMP_GRP,CFK06,36727,9,0,0
ORB FRAN,NCRMP_GRP,CFK06,36727,9,0,0
OTH SPE.,NCRMP_GRP,CFK06,36727,9,0,0
PAL SPE.,NCRMP_GRP,CFK06,36727,9,0.0011111111111111111,0.011777120650294673
PEY SPE.,NCRMP_GRP,CFK06,36727,9,0,0
POR ASTR,NCRMP_GRP,CFK06,36727,9,0.003333333333333333,0.020375868408689733
POR PORI,NCRMP_GRP,CFK06,36727,9,0.003333333333333333,0.020375868408689733
POR SPE.,NCRMP_GRP,CFK06,36727,9,0,0
PSE CLIV,NCRMP_GRP,CFK06,36727,9,0,0
PSE STRI,NCRMP_GRP,CFK06,36727,9,0,0
RAM SPE.,NCRMP_GRP,CFK06,36727,9,0,0
RHO CRUS,NCRMP_GRP,CFK06,36727,9,0.0022222222222222222,0.016646097899538217
SID RADI,NCRMP_GRP,CFK06,36727,9,0.003333333333333333,0.020375868408689733
SID SIDE,NCRMP_GRP,CFK06,36727,9,0.005555555555555556,0.026275790961189892
SOL BOUR,NCRMP_GRP,CFK06,36727,9,0,0
SOL SPE.,NCRMP_GRP,CFK06,36727,9,0,0
SPO OTHE,NCRMP_GRP,CFK06,36727,9,0.023333333333333334,0.053365841651612254
STE INTE,NCRMP_GRP,CFK06,36727,9,0,0
TUR FREE,NCRMP_GRP,CFK06,36727,9,0,0
TUR SEDI,NCRMP_GRP,CFK06,36727,9,0.5422222222222222,0.1761236987093116
ACR CERV,NCRMP_GRP,CFK07,15960,10,0,0
ACR PALM,NCRMP_GRP,CFK07,15960,10,0,0
AGA AGAR,NCRMP_GRP,CFK07,15960,10,0.005,0.02350385980614012
AGA HUMI,NCRMP_GRP,CFK07,15960,10,0,0
AGA LAMA,NCRMP_GRP,CFK07,15960,10,0,0
AGA SPE.,NCRMP_GRP,CFK07,15960,10,0.001,0.010532352592266344
BAR SUB.,NCRMP_GRP,CFK07,15960,10,0.136,0.11422705261395912
CLI SPE.,NCRMP_GRP,CFK07,15960,10,0.004,0.021033052717088715
COL NATA,NCRMP_GRP,CFK07,15960,10,0,0
CYA SPE.,NCRMP_GRP,CFK07,15960,10,0.011,0.03475658783910997
DIC SPE.,NCRMP_GRP,CFK07,15960,10,0.328,0.15644590642591738
DIC STOK,NCRMP_GRP,CFK07,15960,10,0.001,0.010532352592266344
DIP LABY,NCRMP_GRP,CFK07,15960,10,0,0
EUS FAST,NCRMP_GRP,CFK07,15960,10,0,0
GOR ENCR,NCRMP_GRP,CFK07,15960,10,0.009,0.03147028872892183
GOR GORG,NCRMP_GRP,CFK07,15960,10,0.038000000000000006,0.0637121087724524
HAL SPE.,NCRMP_GRP,CFK07,15960,10,0.01,0.0331558558469293
HEL CUCU,NCRMP_GRP,CFK07,15960,10,0,0
ISO SINU,NCRMP_GRP,CFK07,15960,10,0,0
LOB SPE.,NCRMP_GRP,CFK07,15960,10,0,0
MAC CALC,NCRMP_GRP,CFK07,15960,10,0.006999999999999999,0.02778217801405567
MAC FLES,NCRMP_GRP,CFK07,15960,10,0.009999999999999998,0.033155855846929295
MAD DECA,NCRMP_GRP,CFK07,15960,10,0.001,0.010532352592266344
MAG SPE.,NCRMP_GRP,CFK07,15960,10,0,0
MEA MEAN,NCRMP_GRP,CFK07,15960,10,0,0
MIL SPE.,NCRMP_GRP,CFK07,15960,10,0.013999999999999999,0.0391512038656866
MON CAVE,NCRMP_GRP,CFK07,15960,10,0,0
ORB ANNU,NCRMP_GRP,CFK07,15960,10,0,0
ORB FAVE,NCRMP_GRP,CFK07,15960,10,0,0
ORB FRAN,NCRMP_GRP,CFK07,15960,10,0,0
OTH SPE.,NCRMP_GRP,CFK07,15960,10,0,0
PAL SPE.,NCRMP_GRP,CFK07,15960,10,0.030000000000000006,0.05684459020218902
PEY SPE.,NCRMP_GRP,CFK07,15960,10,0.001,0.010532352592266344
POR ASTR,NCRMP_GRP,CFK07,15960,10,0.009,0.03147028872892183
POR PORI,NCRMP_GRP,CFK07,15960,10,0.007000000000000001,0.027782178014055674
POR SPE.,NCRMP_GRP,CFK07,15960,10,0,0
PSE CLIV,NCRMP_GRP,CFK07,15960,10,0,0
PSE STRI,NCRMP_GRP,CFK07,15960,10,0,0
RAM SPE.,NCRMP_GRP,CFK07,15960,10,0,0
RHO CRUS,NCRMP_GRP,CFK07,15960,10,0.016,0.04181192724350562
SID RADI,NCRMP_GRP,CFK07,15960,10,0.003,0.018224299833676356
SID SIDE,NCRMP_GRP,CFK07,15960,10,0.009,0.03147028872892183
SOL BOUR,NCRMP_GRP,CFK07,15960,10,0,0
SOL SPE.,NCRMP_GRP,CFK07,15960,10,0,0
SPO OTHE,NCRMP_GRP,CFK07,15960,10,0.043,0.06759784362554568
STE INTE,NCRMP_GRP,CFK07,15960,10,0.001,0.010532352592266344
TUR FREE,NCRMP_GRP,CFK07,15960,10,0.002,0.014887539060247609
TUR SEDI,NCRMP_GRP,CFK07,15960,10,0.30399999999999994,0.1532794936532711
