COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
SPO OTHE,MIR_GRP,CFK02,110,12,0.0058208955223880594,0.021649485027661165
STE INTE,MIR_GRP,CFK02,110,12,0.008333333333333333,0.0258709625525919
TUR FREE,MIR_GRP,CFK02,110,12,0.09294581310315891,0.08263268876275114
TUR SEDI,MIR_GRP,CFK02,110,12,0.035833333333333335,0.05289809276854061
ACR CERV,MIR_GRP,CFK03,78,7,0,0
ACR PALM,MIR_GRP,CFK03,78,7,0.0014285714285714286,0.014711155824877255
AGA AGAR,MIR_GRP,CFK03,78,7,0.004285714285714286,0.025443990468636785
AGA HUMI,MIR_GRP,CFK03,78,7,0,0
AGA LAMA,MIR_GRP,CFK03,78,7,0,0
AGA SPE.,MIR_GRP,CFK03,78,7,0,0
BAR SUB.,MIR_GRP,CFK03,78,7,0.004285714285714286,0.025443990468636785
CLI SPE.,MIR_GRP,CFK03,78,7,0,0
COL NATA,MIR_GRP,CFK03,78,7,0,0
CYA SPE.,MIR_GRP,CFK03,78,7,0,0
DIC SPE.,MIR_GRP,CFK03,78,7,0.11,0.12187021960819809
DIC STOK,MIR_GRP,CFK03,78,7,0,0
DIP LABY,MIR_GRP,CFK03,78,7,0,0
EUS FAST,MIR_GRP,CFK03,78,7,0,0
GOR ENCR,MIR_GRP,CFK03,78,7,0.005714285714285714,0.02935910575151292
GOR GORG,MIR_GRP,CFK03,78,7,0.021428571428571432,0.05640259985620331
HAL SPE.,MIR_GRP,CFK03,78,7,0.055714285714285716,0.08933903169966648
HEL CUCU,MIR_GRP,CFK03,78,7,0,0
ISO SINU,MIR_GRP,CFK03,78,7,0,0
LOB SPE.,MIR_GRP,CFK03,78,7,0,0
MAC CALC,MIR_GRP,CFK03,78,7,0,0
MAC FLES,MIR_GRP,CFK03,78,7,0.0014285714285714286,0.014711155824877255
MAD DECA,MIR_GRP,CFK03,78,7,0,0
MAG SPE.,MIR_GRP,CFK03,78,7,0,0
MEA MEAN,MIR_GRP,CFK03,78,7,0,0
MIL SPE.,MIR_GRP,CFK03,78,7,0.0071428571428571435,0.03280088883004796
MON CAVE,MIR_GRP,CFK03,78,7,0,0
ORB ANNU,MIR_GRP,CFK03,78,7,0.03571428571428571,0.07228198965342235
ORB FAVE,MIR_GRP,CFK03,78,7,0.027142857142857142,0.06329342018093109
ORB FRAN,MIR_GRP,CFK03,78,7,0,0
OTH SPE.,MIR_GRP,CFK03,78,7,0,0
PAL SPE.,MIR_GRP,CFK03,78,7,0.012857142857142859,0.04388018866884935
PEY SPE.,MIR_GRP,CFK03,78,7,0.0014285714285714286,0.014711155824877255
POR ASTR,MIR_GRP,CFK03,78,7,0.008571428571428572,0.03590571407876493
