PRIMARY_SAMPLE_UNIT,STATION_NR,NEW_STN,YEAR,count
W1291,12378,2,2022,44
W1294,12324,1,2022,53
W1294,13022,2,2022,54
W1295,12382,1,2022,93
W1295,12807,2,2022,98
W1296,10857,1,2022,49
W1296,12372,2,2022,54
W1297,12371,1,2022,47
W1297,12582,2,2022,43
W1299,12346,1,2022,48
W1299,12377,2,2022,47
W1300,2,2,2022,42
W1300,12376,1,2022,42
W1301,12238,1,2022,58
W1301,12375,2,2022,66
W1302,12336,1,2022,84
W1302,13006,2,2022,102
W1303,12215,1,2022,55
W1303,13009,2,2022,52
W1304,12326,1,2022,92
W1304,13019,2,2022,82
W1306,12258,1,2022,63
W1306,12380,2,2022,59
W1307,12185,1,2022,111
W1307,12587,2,2022,90
W1308,12393,1,2022,72
W1308,13083,2,2022,84
W1309,12242,1,2022,56
W1309,12392,2,2022,50
W1310,10613,1,2022,58
W1310,12201,2,2022,49
W1311,12339,1,2022,83
W1311,13089,2,2022,78
W1312,10643,1,2022,48
W1312,12195,2,2022,50
W1313,12261,1,2022,68
W1313,12286,2,2022,55
W1314,10612,1,2022,79
W1314,12297,2,2022,77
W1315,10642,1,2022,57
W1315,12323,2,2022,55
W1316,10849,1,2022,68
W1316,12373,2,2022,105
W1317,12186,1,2022,81
W1317,12590,2,2022,73
W1318,12289,1,2022,86
W1318,13004,2,2022,80
W1319,12241,1,2022,66
W1319,12905,2,2022,94
W1320,12264,1,2022,80
W1320,12287,2,2022,80
W1321,12291,1,2022,74
W1321,13076,2,2022,82
W1322,10818,1,2022,83
W1322,10935,2,2022,107
W1323,12313,1,2022,83
W1323,13082,2,2022,75
W1324,10822,1,2022,63
W1324,10938,2,2022,111
W1325,12292,1,2022,79
W1325,12395,2,2022,79
W1326,1,1,2022,42
W1326,12200,2,2022,42
W1327,12303,1,2022,91
W1327,13077,2,2022,107
W1328,10821,1,2022,64
W1328,10937,2,2022,58
W1329,10689,1,2022,49
W1329,12181,2,2022,55
W1330,12282,1,2022,77
W1330,12374,2,2022,88
W1332,12180,1,2022,42
W1332,12579,2,2022,45
W1334,12394,1,2022,76
W1334,13086,2,2022,96
W1335,12290,1,2022,68
W1335,12391,2,2022,100
W1336,12182,1,2022,58
W1336,12321,2,2022,49
W1337,10830,1,2022,59
W1337,12815,2,2022,72
W1339,12183,1,2022,51
W1339,12284,2,2022,54
W1340,10931,1,2022,112
W1340,12266,2,2022,116
W1341,10678,1,2022,91
W1341,12390,2,2022,124
W1342,12298,1,2022,83
W1342,13087,2,2022,77
W1343,12249,1,2022,57
W1343,13003,2,2022,70
W1344,10681,1,2022,77
W1344,12388,2,2022,105
W1346,10645,1,2022,42
W1346,12189,2,2022,42
W1347,10682,1,2022,47
W1347,13088,2,2022,46
W1348,10934,1,2022,80
W1348,12283,2,2022,78
W1349,12659,1,2022,72
W1349,12915,2,2022,78
W1350,10674,1,2022,60
W1350,12385,2,2022,99
W1351,12209,1,2022,71
W1351,13093,2,2022,81
W1352,10858,1,2022,79
W1352,10933,2,2022,114
W1353,12188,1,2022,52
W1353,12911,2,2022,46
W1354,10820,1,2022,73
W1354,10932,2,2022,85
W1355,12253,1,2022,65
W1355,12386,2,2022,73
W1356,12602,1,2022,145
W1356,12629,2,2022,213
W1357,10925,1,2022,115
W1357,12263,2,2022,92
W1358,10819,1,2022,91
W1358,10936,2,2022,98
W1361,12632,1,2022,137
W1361,12916,2,2022,84
W1362,10673,1,2022,46
W1362,12387,2,2022,49
W1363,12635,1,2022,127
W1363,13052,2,2022,123
W1364,12943,1,2022,98
W1364,12960,2,2022,125
W1365,12647,1,2022,125
W1365,12977,2,2022,88
W1366,10930,1,2022,64
W1366,12301,2,2022,59
W1367,12650,1,2022,117
W1367,12720,2,2022,88
W1368,12944,1,2022,140
W1368,12955,2,2022,133
W1369,12885,1,2022,58
W1369,13104,2,2022,52
W1371,13025,1,2022,64
W1371,13106,2,2022,61
W1372,12670,1,2022,119
W1372,13100,2,2022,101
W1373,12959,1,2022,100
W1373,13048,2,2022,114
W1374,12654,1,2022,59
W1374,13049,2,2022,60
W1375,12918,1,2022,76
W1375,13102,2,2022,71
W1377,12445,1,2022,50
W1377,13029,2,2022,52
W1379,12986,1,2022,95
W1379,13058,2,2022,110
W1380,12446,1,2022,65
W1380,13053,2,2022,51
W1381,12673,1,2022,67
W1381,12940,2,2022,80
W1382,12447,1,2022,72
W1382,13054,2,2022,66
W1383,12443,1,2022,49
W1383,13057,2,2022,61
