"","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","NEW_STN","NEW_PSU"
"153","W1353",12188,2022,1,9652
"154","W1354",10932,2022,2,9653
"155","W1355",12253,2022,1,9654
"156","W1356",12629,2022,2,9655
"157","W1357",12263,2022,2,9656
"158","W1358",10936,2022,2,9657
"159","W1361",12632,2022,1,9658
"160","W1362",10673,2022,1,9659
"161","W1363",13052,2022,2,9660
"162","W1364",12960,2022,2,9661
"163","W1365",12977,2022,2,9662
"164","W1366",10930,2022,1,9663
"165","W1367",12650,2022,1,9664
"166","W1368",12955,2022,2,9665
"167","W1369",13104,2022,2,9666
"168","W1371",13106,2022,2,9667
"169","W1372",13100,2022,2,9668
"170","W1373",12959,2022,1,9669
"171","W1374",12654,2022,1,9670
"172","W1375",12918,2022,1,9671
"173","W1377",13029,2022,2,9672
"174","W1379",12986,2022,1,9673
"175","W1380",12446,2022,1,9674
"176","W1381",12940,2022,2,9675
"177","W1382",13054,2022,2,9676
"178","W1383",13057,2022,2,9677
"179","W1387",12448,2022,1,9678
"180","W1392",13034,2022,2,9679
"181","W1393",12991,2022,1,9680
"182","W1394",12664,2022,1,9681
"183","W1396",12444,2022,1,9682
"184","W1398",13298,2022,2,9683
"185","W1399",13015,2022,1,9684
"186","W1400",13028,2022,2,9685
"187","W1401",13304,2022,2,9686
"188","W2150",12315,2022,2,9687
"189","W2151",12118,2022,2,9688
"190","W2160",12348,2022,2,9689
"191","W2178",1,2022,1,9690
"192","W2198",10641,2022,1,9691
"193","W2220",12567,2022,1,9692
"194","W2221",13119,2022,2,9693
"195","W2225",12604,2022,1,9694
"196","W2227",12607,2022,2,9695
"197","W2244",13044,2022,1,9696
"198","W2249",13010,2022,2,9697
"199","W2252",10884,2022,1,9698
"200","W2254",12903,2022,1,9699
"201","W2260",12993,2022,1,9700
"202","W2271",12325,2022,1,9701
"203","W2285",10614,2022,1,9702
"204","W2289",12327,2022,1,9703
"205","W2308",12389,2022,2,9704
"206","W2312",10927,2022,2,9705
"207","W2316",13300,2022,2,9706
"208","W3010",10697,2022,1,9707
"209","W3011",10750,2022,2,9708
"210","W3012",10753,2022,1,9709
"211","W3018",10759,2022,1,9710
"212","W3019",10866,2022,2,9711
"213","W3020",10875,2022,2,9712
"214","W3021",10941,2022,1,9713
"215","W3022",12384,2022,1,9714
"216","W3024",12674,2022,1,9715
"217","W3026",12803,2022,1,9716
"218","W3027",12811,2022,1,9717
