analysis_group,strat_cora,cover_cat_cd,n,avp,ntot,se_p
MIR_GRP,CFK05,CLI SPE.,23,0.00217,202,0.00935
MIR_GRP,CFK06,CLI SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,CLI SPE.,32,0.00125,339,0.00604
NCRMP_GRP,CFK01,CLI SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,CLI SPE.,20,0.00250,30239,0.01145
NCRMP_GRP,CFK03,CLI SPE.,9,0.00333,15652,0.02037
NCRMP_GRP,CFK05,CLI SPE.,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,CLI SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,CLI SPE.,10,0.00400,15960,0.02103
MIR_GRP,CFK01,COL NATA,8,0.00000,101,0.00000
MIR_GRP,CFK02,COL NATA,12,0.02417,110,0.04370
MIR_GRP,CFK03,COL NATA,7,0.00000,78,0.00000
MIR_GRP,CFK05,COL NATA,23,0.00000,202,0.00000
MIR_GRP,CFK06,COL NATA,4,0.00000,109,0.00000
MIR_GRP,CFK07,COL NATA,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,COL NATA,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,COL NATA,20,0.00050,30239,0.00513
NCRMP_GRP,CFK03,COL NATA,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,COL NATA,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,COL NATA,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,COL NATA,10,0.00000,15960,0.00000
MIR_GRP,CFK01,CYA SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,CYA SPE.,12,0.00999,110,0.02830
MIR_GRP,CFK03,CYA SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,CYA SPE.,23,0.00391,202,0.01253
MIR_GRP,CFK06,CYA SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,CYA SPE.,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,CYA SPE.,10,0.00900,4718,0.03145
NCRMP_GRP,CFK02,CYA SPE.,20,0.00300,30239,0.01254
NCRMP_GRP,CFK03,CYA SPE.,9,0.00111,15652,0.01178
NCRMP_GRP,CFK05,CYA SPE.,7,0.00571,2596,0.03073
NCRMP_GRP,CFK06,CYA SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,CYA SPE.,10,0.01100,15960,0.03476
MIR_GRP,CFK01,DIC SPE.,8,0.04375,101,0.07418
MIR_GRP,CFK02,DIC SPE.,12,0.16684,110,0.10610
MIR_GRP,CFK03,DIC SPE.,7,0.11000,78,0.12187
MIR_GRP,CFK05,DIC SPE.,23,0.03522,202,0.03699
MIR_GRP,CFK06,DIC SPE.,4,0.16500,109,0.21033
MIR_GRP,CFK07,DIC SPE.,32,0.25719,339,0.07471
NCRMP_GRP,CFK01,DIC SPE.,10,0.01300,4718,0.03772
NCRMP_GRP,CFK02,DIC SPE.,20,0.05150,30239,0.05069
NCRMP_GRP,CFK03,DIC SPE.,9,0.16889,15652,0.13242
NCRMP_GRP,CFK05,DIC SPE.,7,0.10429,2596,0.12460
NCRMP_GRP,CFK06,DIC SPE.,9,0.05667,36727,0.08173
NCRMP_GRP,CFK07,DIC SPE.,10,0.32800,15960,0.15645
MIR_GRP,CFK01,DIC STOK,8,0.00000,101,0.00000
MIR_GRP,CFK02,DIC STOK,12,0.00000,110,0.00000
MIR_GRP,CFK03,DIC STOK,7,0.00000,78,0.00000
MIR_GRP,CFK05,DIC STOK,23,0.00043,202,0.00418
MIR_GRP,CFK06,DIC STOK,4,0.00000,109,0.00000
MIR_GRP,CFK07,DIC STOK,32,0.00063,339,0.00427
NCRMP_GRP,CFK01,DIC STOK,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,DIC STOK,20,0.00100,30239,0.00725
NCRMP_GRP,CFK03,DIC STOK,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,DIC STOK,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,DIC STOK,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,DIC STOK,10,0.00100,15960,0.01053
MIR_GRP,CFK01,DIP LABY,8,0.00000,101,0.00000
MIR_GRP,CFK02,DIP LABY,12,0.00385,110,0.01761
MIR_GRP,CFK03,DIP LABY,7,0.00000,78,0.00000
MIR_GRP,CFK05,DIP LABY,23,0.00000,202,0.00000
MIR_GRP,CFK06,DIP LABY,4,0.00000,109,0.00000
MIR_GRP,CFK07,DIP LABY,32,0.00125,339,0.00604
NCRMP_GRP,CFK01,DIP LABY,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,DIP LABY,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,DIP LABY,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,DIP LABY,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,DIP LABY,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,DIP LABY,10,0.00000,15960,0.00000
MIR_GRP,CFK01,EUS FAST,8,0.00000,101,0.00000
MIR_GRP,CFK02,EUS FAST,12,0.00000,110,0.00000
MIR_GRP,CFK03,EUS FAST,7,0.00000,78,0.00000
MIR_GRP,CFK05,EUS FAST,23,0.00000,202,0.00000
MIR_GRP,CFK06,EUS FAST,4,0.00250,109,0.02830
MIR_GRP,CFK07,EUS FAST,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,EUS FAST,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,EUS FAST,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,EUS FAST,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,EUS FAST,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,EUS FAST,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,EUS FAST,10,0.00000,15960,0.00000
MIR_GRP,CFK01,GOR ENCR,8,0.01125,101,0.03825
MIR_GRP,CFK02,GOR ENCR,12,0.01250,110,0.03162
MIR_GRP,CFK03,GOR ENCR,7,0.00571,78,0.02936
MIR_GRP,CFK05,GOR ENCR,23,0.00000,202,0.00000
MIR_GRP,CFK06,GOR ENCR,4,0.00000,109,0.00000
MIR_GRP,CFK07,GOR ENCR,32,0.00969,339,0.01674
NCRMP_GRP,CFK01,GOR ENCR,10,0.00500,4718,0.02349
NCRMP_GRP,CFK02,GOR ENCR,20,0.04400,30239,0.04704
NCRMP_GRP,CFK03,GOR ENCR,9,0.02444,15652,0.05458
NCRMP_GRP,CFK05,GOR ENCR,7,0.00857,2596,0.03758
NCRMP_GRP,CFK06,GOR ENCR,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,GOR ENCR,10,0.00900,15960,0.03147
MIR_GRP,CFK01,GOR GORG,8,0.01625,101,0.04586
MIR_GRP,CFK02,GOR GORG,12,0.00417,110,0.01833
MIR_GRP,CFK03,GOR GORG,7,0.02143,78,0.05640
MIR_GRP,CFK05,GOR GORG,23,0.04261,202,0.04054
MIR_GRP,CFK06,GOR GORG,4,0.02000,109,0.07933
MIR_GRP,CFK07,GOR GORG,32,0.02688,339,0.02764
NCRMP_GRP,CFK01,GOR GORG,10,0.01900,4718,0.04546
NCRMP_GRP,CFK02,GOR GORG,20,0.03700,30239,0.04329
NCRMP_GRP,CFK03,GOR GORG,9,0.03889,15652,0.06833
NCRMP_GRP,CFK05,GOR GORG,7,0.04429,2596,0.08388
NCRMP_GRP,CFK06,GOR GORG,9,0.03556,36727,0.06546
NCRMP_GRP,CFK07,GOR GORG,10,0.03800,15960,0.06371
