analysis_group,strat_cora,cover_cat_cd,n,avp,ntot,se_p
NCRMP_GRP,CFK07,PAL SPE.,10,0.03000,15960,0.05684
MIR_GRP,CFK01,PEY SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,PEY SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,PEY SPE.,7,0.00143,78,0.01471
MIR_GRP,CFK05,PEY SPE.,23,0.00261,202,0.01024
MIR_GRP,CFK06,PEY SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,PEY SPE.,32,0.00125,339,0.00604
NCRMP_GRP,CFK01,PEY SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,PEY SPE.,20,0.00200,30239,0.01025
NCRMP_GRP,CFK03,PEY SPE.,9,0.00111,15652,0.01178
NCRMP_GRP,CFK05,PEY SPE.,7,0.00429,2596,0.02663
NCRMP_GRP,CFK06,PEY SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,PEY SPE.,10,0.00100,15960,0.01053
MIR_GRP,CFK01,POR ASTR,8,0.00000,101,0.00000
MIR_GRP,CFK02,POR ASTR,12,0.02218,110,0.04191
MIR_GRP,CFK03,POR ASTR,7,0.00857,78,0.03591
MIR_GRP,CFK05,POR ASTR,23,0.04826,202,0.04301
MIR_GRP,CFK06,POR ASTR,4,0.00250,109,0.02830
MIR_GRP,CFK07,POR ASTR,32,0.01188,339,0.01851
NCRMP_GRP,CFK01,POR ASTR,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,POR ASTR,20,0.00950,30239,0.02225
NCRMP_GRP,CFK03,POR ASTR,9,0.00333,15652,0.02037
NCRMP_GRP,CFK05,POR ASTR,7,0.02143,2596,0.05904
NCRMP_GRP,CFK06,POR ASTR,9,0.00333,36727,0.02038
NCRMP_GRP,CFK07,POR ASTR,10,0.00900,15960,0.03147
MIR_GRP,CFK01,POR PORI,8,0.00000,101,0.00000
MIR_GRP,CFK02,POR PORI,12,0.00500,110,0.02007
MIR_GRP,CFK03,POR PORI,7,0.00286,78,0.02079
MIR_GRP,CFK05,POR PORI,23,0.00217,202,0.00935
MIR_GRP,CFK06,POR PORI,4,0.01000,109,0.05638
MIR_GRP,CFK07,POR PORI,32,0.00875,339,0.01592
NCRMP_GRP,CFK01,POR PORI,10,0.00300,4718,0.01821
NCRMP_GRP,CFK02,POR PORI,20,0.01100,30239,0.02392
NCRMP_GRP,CFK03,POR PORI,9,0.00111,15652,0.01178
NCRMP_GRP,CFK05,POR PORI,7,0.00286,2596,0.02176
NCRMP_GRP,CFK06,POR PORI,9,0.00333,36727,0.02038
NCRMP_GRP,CFK07,POR PORI,10,0.00700,15960,0.02778
MIR_GRP,CFK01,POR SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,POR SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,POR SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,POR SPE.,23,0.00000,202,0.00000
MIR_GRP,CFK06,POR SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,POR SPE.,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,POR SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,POR SPE.,20,0.00100,30239,0.00725
NCRMP_GRP,CFK03,POR SPE.,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,POR SPE.,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,POR SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,POR SPE.,10,0.00000,15960,0.00000
MIR_GRP,CFK01,PSE CLIV,8,0.00000,101,0.00000
MIR_GRP,CFK02,PSE CLIV,12,0.00083,110,0.00821
MIR_GRP,CFK03,PSE CLIV,7,0.00000,78,0.00000
MIR_GRP,CFK05,PSE CLIV,23,0.00000,202,0.00000
MIR_GRP,CFK06,PSE CLIV,4,0.00000,109,0.00000
MIR_GRP,CFK07,PSE CLIV,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,PSE CLIV,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,PSE CLIV,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,PSE CLIV,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,PSE CLIV,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,PSE CLIV,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,PSE CLIV,10,0.00000,15960,0.00000
MIR_GRP,CFK01,PSE STRI,8,0.00125,101,0.01281
MIR_GRP,CFK02,PSE STRI,12,0.00000,110,0.00000
MIR_GRP,CFK03,PSE STRI,7,0.00000,78,0.00000
MIR_GRP,CFK05,PSE STRI,23,0.00000,202,0.00000
MIR_GRP,CFK06,PSE STRI,4,0.00250,109,0.02830
MIR_GRP,CFK07,PSE STRI,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,PSE STRI,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,PSE STRI,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,PSE STRI,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,PSE STRI,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,PSE STRI,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,PSE STRI,10,0.00000,15960,0.00000
MIR_GRP,CFK01,RAM SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,RAM SPE.,12,0.02350,110,0.04311
MIR_GRP,CFK03,RAM SPE.,7,0.00143,78,0.01471
MIR_GRP,CFK05,RAM SPE.,23,0.02217,202,0.02955
MIR_GRP,CFK06,RAM SPE.,4,0.00250,109,0.02830
MIR_GRP,CFK07,RAM SPE.,32,0.00344,339,0.01000
NCRMP_GRP,CFK01,RAM SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,RAM SPE.,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,RAM SPE.,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,RAM SPE.,7,0.00143,2596,0.01540
NCRMP_GRP,CFK06,RAM SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,RAM SPE.,10,0.00000,15960,0.00000
MIR_GRP,CFK01,RHO CRUS,8,0.02625,101,0.05799
MIR_GRP,CFK02,RHO CRUS,12,0.05749,110,0.06625
MIR_GRP,CFK03,RHO CRUS,7,0.00857,78,0.03591
MIR_GRP,CFK05,RHO CRUS,23,0.01783,202,0.02656
MIR_GRP,CFK06,RHO CRUS,4,0.00250,109,0.02830
MIR_GRP,CFK07,RHO CRUS,32,0.00781,339,0.01505
NCRMP_GRP,CFK01,RHO CRUS,10,0.00100,4718,0.01052
NCRMP_GRP,CFK02,RHO CRUS,20,0.01100,30239,0.02392
NCRMP_GRP,CFK03,RHO CRUS,9,0.00667,15652,0.02876
NCRMP_GRP,CFK05,RHO CRUS,7,0.02429,2596,0.06276
NCRMP_GRP,CFK06,RHO CRUS,9,0.00222,36727,0.01665
NCRMP_GRP,CFK07,RHO CRUS,10,0.01600,15960,0.04181
MIR_GRP,CFK01,SID RADI,8,0.00000,101,0.00000
MIR_GRP,CFK02,SID RADI,12,0.00167,110,0.01161
MIR_GRP,CFK03,SID RADI,7,0.00000,78,0.00000
MIR_GRP,CFK05,SID RADI,23,0.00087,202,0.00592
MIR_GRP,CFK06,SID RADI,4,0.00000,109,0.00000
MIR_GRP,CFK07,SID RADI,32,0.00156,339,0.00675
NCRMP_GRP,CFK01,SID RADI,10,0.00100,4718,0.01052
NCRMP_GRP,CFK02,SID RADI,20,0.00600,30239,0.01771
NCRMP_GRP,CFK03,SID RADI,9,0.00333,15652,0.02037
NCRMP_GRP,CFK05,SID RADI,7,0.00143,2596,0.01540
NCRMP_GRP,CFK06,SID RADI,9,0.00333,36727,0.02038
NCRMP_GRP,CFK07,SID RADI,10,0.00300,15960,0.01822
MIR_GRP,CFK01,SID SIDE,8,0.00375,101,0.02217
MIR_GRP,CFK02,SID SIDE,12,0.07342,110,0.07423
MIR_GRP,CFK03,SID SIDE,7,0.00000,78,0.00000
MIR_GRP,CFK05,SID SIDE,23,0.00261,202,0.01024
MIR_GRP,CFK06,SID SIDE,4,0.01000,109,0.05638
MIR_GRP,CFK07,SID SIDE,32,0.00844,339,0.01563
NCRMP_GRP,CFK01,SID SIDE,10,0.00200,4718,0.01488
NCRMP_GRP,CFK02,SID SIDE,20,0.05400,30239,0.05183
NCRMP_GRP,CFK03,SID SIDE,9,0.04000,15652,0.06926
NCRMP_GRP,CFK05,SID SIDE,7,0.00714,2596,0.03433
NCRMP_GRP,CFK06,SID SIDE,9,0.00556,36727,0.02628
NCRMP_GRP,CFK07,SID SIDE,10,0.00900,15960,0.03147
MIR_GRP,CFK01,SOL BOUR,8,0.00250,101,0.01811
MIR_GRP,CFK02,SOL BOUR,12,0.00083,110,0.00821
MIR_GRP,CFK03,SOL BOUR,7,0.00000,78,0.00000
MIR_GRP,CFK05,SOL BOUR,23,0.00000,202,0.00000
MIR_GRP,CFK06,SOL BOUR,4,0.00000,109,0.00000
MIR_GRP,CFK07,SOL BOUR,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,SOL BOUR,10,0.00100,4718,0.01052
NCRMP_GRP,CFK02,SOL BOUR,20,0.00200,30239,0.01025
NCRMP_GRP,CFK03,SOL BOUR,9,0.00444,15652,0.02351
NCRMP_GRP,CFK05,SOL BOUR,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,SOL BOUR,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,SOL BOUR,10,0.00000,15960,0.00000
MIR_GRP,CFK01,SOL SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,SOL SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,SOL SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,SOL SPE.,23,0.00000,202,0.00000
MIR_GRP,CFK06,SOL SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,SOL SPE.,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,SOL SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,SOL SPE.,20,0.00150,30239,0.00888
NCRMP_GRP,CFK03,SOL SPE.,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,SOL SPE.,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,SOL SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,SOL SPE.,10,0.00000,15960,0.00000
MIR_GRP,CFK01,SPO OTHE,8,0.01500,101,0.04409
MIR_GRP,CFK02,SPO OTHE,12,0.00582,110,0.02165
MIR_GRP,CFK03,SPO OTHE,7,0.00571,78,0.02936
MIR_GRP,CFK05,SPO OTHE,23,0.00217,202,0.00935
MIR_GRP,CFK06,SPO OTHE,4,0.01000,109,0.05638
MIR_GRP,CFK07,SPO OTHE,32,0.02000,339,0.02393
NCRMP_GRP,CFK01,SPO OTHE,10,0.04700,4718,0.07047
NCRMP_GRP,CFK02,SPO OTHE,20,0.06950,30239,0.05832
NCRMP_GRP,CFK03,SPO OTHE,9,0.08778,15652,0.10002
NCRMP_GRP,CFK05,SPO OTHE,7,0.02429,2596,0.06276
NCRMP_GRP,CFK06,SPO OTHE,9,0.02333,36727,0.05337
NCRMP_GRP,CFK07,SPO OTHE,10,0.04300,15960,0.06760
MIR_GRP,CFK01,STE INTE,8,0.00000,101,0.00000
MIR_GRP,CFK02,STE INTE,12,0.00833,110,0.02587
MIR_GRP,CFK03,STE INTE,7,0.00000,78,0.00000
MIR_GRP,CFK05,STE INTE,23,0.00000,202,0.00000
MIR_GRP,CFK06,STE INTE,4,0.00250,109,0.02830
MIR_GRP,CFK07,STE INTE,32,0.00313,339,0.00954
NCRMP_GRP,CFK01,STE INTE,10,0.00200,4718,0.01488
NCRMP_GRP,CFK02,STE INTE,20,0.01350,30239,0.02647
NCRMP_GRP,CFK03,STE INTE,9,0.01444,15652,0.04217
NCRMP_GRP,CFK05,STE INTE,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,STE INTE,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,STE INTE,10,0.00100,15960,0.01053
MIR_GRP,CFK01,TUR FREE,8,0.26625,101,0.16031
MIR_GRP,CFK02,TUR FREE,12,0.09295,110,0.08263
MIR_GRP,CFK03,TUR FREE,7,0.49857,78,0.19475
MIR_GRP,CFK05,TUR FREE,23,0.53522,202,0.10010
MIR_GRP,CFK06,TUR FREE,4,0.45750,109,0.28230
MIR_GRP,CFK07,TUR FREE,32,0.33750,339,0.08082
NCRMP_GRP,CFK01,TUR FREE,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,TUR FREE,20,0.03500,30239,0.04215
NCRMP_GRP,CFK03,TUR FREE,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,TUR FREE,7,0.10857,2596,0.12683
NCRMP_GRP,CFK06,TUR FREE,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,TUR FREE,10,0.00200,15960,0.01489
MIR_GRP,CFK01,TUR SEDI,8,0.18125,101,0.13972
MIR_GRP,CFK02,TUR SEDI,12,0.03583,110,0.05290
MIR_GRP,CFK03,TUR SEDI,7,0.18571,78,0.15147
MIR_GRP,CFK05,TUR SEDI,23,0.09913,202,0.05998
MIR_GRP,CFK06,TUR SEDI,4,0.17500,109,0.21531
MIR_GRP,CFK07,TUR SEDI,32,0.13750,339,0.05886
NCRMP_GRP,CFK01,TUR SEDI,10,0.27600,4718,0.14885
NCRMP_GRP,CFK02,TUR SEDI,20,0.30650,30239,0.10573
NCRMP_GRP,CFK03,TUR SEDI,9,0.39778,15652,0.17299
NCRMP_GRP,CFK05,TUR SEDI,7,0.37714,2596,0.19760
NCRMP_GRP,CFK06,TUR SEDI,9,0.54222,36727,0.17612
NCRMP_GRP,CFK07,TUR SEDI,10,0.30400,15960,0.15328
