YEAR,PRIMARY_SAMPLE_UNIT,STATION_NR
2022,9660,2
2022,9661,1
2022,9661,2
2022,9662,1
2022,9662,2
2022,9663,1
2022,9663,2
2022,9664,1
2022,9664,2
2022,9665,1
2022,9665,2
2022,9666,1
2022,9666,2
2022,9667,1
2022,9667,2
2022,9668,1
2022,9668,2
2022,9669,1
2022,9669,2
2022,9670,1
2022,9670,2
2022,9671,1
2022,9671,2
2022,9672,1
2022,9672,2
2022,9673,1
2022,9673,2
2022,9674,1
2022,9674,2
2022,9675,1
2022,9675,2
2022,9676,1
2022,9676,2
2022,9677,1
2022,9677,2
2022,9678,1
2022,9678,2
2022,9679,1
2022,9679,2
2022,9680,1
2022,9680,2
2022,9681,1
2022,9681,2
2022,9682,1
2022,9682,2
2022,9683,1
2022,9683,2
2022,9684,1
2022,9684,2
2022,9685,1
2022,9685,2
2022,9686,1
2022,9686,2
2022,9687,1
2022,9687,2
2022,9688,1
2022,9688,2
2022,9689,1
2022,9689,2
2022,9690,1
2022,9690,2
2022,9691,1
2022,9691,2
2022,9692,1
2022,9692,2
2022,9693,1
2022,9693,2
2022,9694,1
2022,9694,2
2022,9695,1
2022,9695,2
2022,9696,1
2022,9696,2
2022,9697,1
2022,9697,2
2022,9698,1
2022,9698,2
2022,9699,1
2022,9699,2
2022,9700,1
2022,9700,2
2022,9701,1
2022,9701,2
2022,9702,1
2022,9702,2
2022,9703,1
2022,9703,2
2022,9704,1
2022,9704,2
2022,9705,1
2022,9705,2
2022,9706,1
2022,9706,2
2022,9707,1
2022,9707,2
2022,9708,1
2022,9708,2
2022,9709,1
2022,9709,2
2022,9710,1
2022,9710,2
2022,9711,1
2022,9711,2
2022,9712,1
2022,9712,2
2022,9713,1
2022,9713,2
2022,9714,1
2022,9714,2
2022,9715,1
2022,9715,2
2022,9716,1
2022,9716,2
2022,9717,1
2022,9717,2
