strat_cora,nht,analysis_group
CFK01,4718,NCRMP_GRP
CFK02,30239,NCRMP_GRP
CFK03,15652,NCRMP_GRP
CFK04,9396,NCRMP_GRP
CFK05,2596,NCRMP_GRP
CFK06,36727,NCRMP_GRP
CFK07,15960,NCRMP_GRP
CFK01,101,MIR_GRP
CFK02,110,MIR_GRP
CFK03,78,MIR_GRP
CFK04,77,MIR_GRP
CFK05,202,MIR_GRP
CFK06,109,MIR_GRP
CFK07,339,MIR_GRP
